geo:Geometry geo:asWKT geo:wktLiteral
cube:Observation cbs:inwoners65+ xsd:nonNegativeInteger
cube:Observation cbs:elektriciteitsverbruikKoopwoning xsd:nonNegativeInteger
sor:Registratiegegevens kad:bronactualiteit xsd:date
cube:Observation cbs:sauna xsd:decimal
sor:Gebouw sor:oorspronkelijkBouwjaar xsd:gYear
cube:Observation cbs:ziekenhuis xsd:decimal
cube:Observation cbs:bioscopen20 xsd:decimal
cube:Observation cbs:overigeWinkels1 xsd:decimal
cube:Observation cbs:postcode xsd:string
cube:DimensionProperty rdfs:range owl:Class
sh:NodeShape mim:herkomstDefinitie xsd:string
cbs:Buurt geo:sfWithin cbs:Wijk
kad:Standplaats sor:hoofdadres sor:Nummeraanduiding
bag:Pand bag:status bag:StatusPand
gml:Point rdfs:isDefinedBy http://www.w3.org/ns/dcat#Dataset
cbs:Gemeente cbs:hasWaterGeometry cbs:Water
mim:Objecttype mim:herkomst xsd:string
mim:Objecttype sh:name xsd:string
cube:Observation cbs:ao xsd:nonNegativeInteger
owl:DatatypeProperty dct:source xsd:anyURI
owl:Class owl:disjointWith owl:Class
kad:Grondslag prov:invalidatedAtTime xsd:date
owl:DatatypeProperty rdfs:subPropertyOf owl:AnnotationProperty
cube:Observation cbs:ww xsd:nonNegativeInteger
sor:Gebouwzone kad:gebouwtype kad:Gebouwtype
cube:Observation cbs:cafés1 xsd:decimal
cube:Observation cbs:bewoondeWoningen xsd:nonNegativeInteger
cube:Observation cbs:hotels20 xsd:decimal
owl:Class mim:herkomst xsd:string
cube:Observation cbs:bouwklasseVanaf2000 xsd:nonNegativeInteger
skos:ConceptScheme rdfs:isDefinedBy owl:Ontology
cube:Observation cbs:buitenschoolseOpvang1 xsd:decimal
sor:Verblijfsobject sor:oppervlakte xsd:positiveInteger
cube:Observation cbs:gehuwd xsd:nonNegativeInteger
cube:Observation cbs:aardgasverbruikTweeOnderÉénKap xsd:nonNegativeInteger
kad:Gebouwtype skos:scopeNote rdf:HTML
kad:Koppeling rdf:predicate owl:ObjectProperty
cube:Observation cbs:podia5 xsd:decimal
cube:Observation cbs:hogerOnderwijs5 xsd:decimal
cube:Observation cbs:kinderdagverblijf xsd:decimal
cube:Observation cbs:bevolkingsdichtheid xsd:nonNegativeInteger
cube:Observation cbs:buitenpoliklinieken10 xsd:decimal
cube:Observation cbs:indelingswijziging cbs:Indelingswijziging
nen3610:Registratiegegevens nen3610:beginGeldigheid xsd:date
rdfs:Resource rdfs:isDefinedBy rdfs:Resource
cube:MeasureProperty rdfs:comment rdf:HTML
cube:Observation cbs:buitenpolikliniek xsd:decimal
cube:Observation cbs:omgevingsadressendichtheid xsd:nonNegativeInteger
bag:Ligplaats bag:documentdatum xsd:date
cube:Observation cube:dataSet cube:DataSet
cube:Observation cbs:stedelijkheid cbs:Stedelijkheid
owl:Class rdfs:subClassOf owl:Class
cube:Observation cbs:aardgasverbruikKoopwoning xsd:nonNegativeInteger
owl:Class mim:kwaliteit xsd:string
sor:Nummeraanduiding sor:postcode xsd:string
cube:Observation cbs:middelbareScholen3 xsd:decimal
sor:OpenbareRuimte sor:geregistreerdMet sor:Registratiegegevens
sor:Registratiegegevens kad:bronbeschrijving xsd:string
cube:Observation cbs:bedrijfsvestigingenRU xsd:nonNegativeInteger
bag:Standplaats bag:documentnummer xsd:string
sor:Nummeraanduiding sor:huisletter xsd:string
sh:PropertyShape sh:path owl:AnnotationProperty
cube:Observation cbs:buitenschoolseOpvang3 xsd:decimal
cube:Observation cbs:musea20 xsd:decimal
bag:Woonplaats nen3610:domein xsd:string
brt:Gebouw geo:hasGeometry gml:Surface
cube:Observation cbs:warenhuizen20 xsd:decimal
sh:PropertyShape sh:maxCount xsd:integer
cube:Observation cbs:vernielingen xsd:nonNegativeInteger
bag:Nummeraanduiding nen3610:geregistreerdMet bag:VoorkomenLV
owl:Class dct:subject bag:TypeAdresseerbaarObject
kad:Koppeling kad:status skos:Concept
cbs:Buurt cbs:hasWaterGeometry cbs:Water
sor:Gebruiksdoel dct:source xsd:anyURI
cube:Observation cbs:aardgasverbruik xsd:nonNegativeInteger
cube:Observation cbs:sterfte xsd:nonNegativeInteger
bag:Standplaats bag:hoofdadres bag:Nummeraanduiding
nen3610:GeoObject nen3610:identificatie xsd:string
cube:Observation cbs:stadsverwarming xsd:nonNegativeInteger
sh:NodeShape mim:indicatieAbstractObject xsd:boolean
cube:Observation cbs:personenautosNaarOppervlakte xsd:nonNegativeInteger
cube:Observation cbs:huishoudensMetKinderen xsd:nonNegativeInteger
cube:Observation cbs:dekkingspercentage https://triplydb.com/Triply/value/ClosedInterval
cube:Observation cbs:elektriciteitsverbruikHuurwoning xsd:nonNegativeInteger
rdfs:Resource rdfs:seeAlso rdfs:Resource
cube:Observation cbs:hogerOnderwijs10 xsd:decimal
cbs:Buurt sdo0:identifier xsd:string
skos:Concept owl:sameAs bag:Gebruiksdoel
cube:Observation cbs:meergezinswoningen xsd:nonNegativeInteger
cube:Observation cbs:spatialExtent cbs:Buurt
