DATA TYPE EDGES:
('bag:KenmerkVerblijfsobjectInOnderzoek', 'bag:documentdatum', 'xsd:date')
('bag:VoorkomenLV', 'bag:tijdstipRegistratieLV', 'xsd:dateTime')
('bag:VoorkomenLV', 'bag:tijdstipInactief', 'xsd:dateTime')
('bag:KenmerkLigplaatsInOnderzoek', 'bag:identificatieVanLigplaats', 'xsd:string')
('bag:Pand', 'bag:documentnummer', 'xsd:string')
('bag:Standplaats', 'bag:documentdatum', 'xsd:date')
('bag:VoorkomenLV', 'bag:versie', 'xsd:integer')
('bag:Nummeraanduiding', 'bag:huisletter', 'xsd:string')
('bag:Voorkomen', 'bag:eindRegistratie', 'xsd:dateTime')
('bag:VoorkomenLVBAG', 'bag:eindGeldigheid', 'xsd:date')
('bag:Verblijfsobject', 'bag:documentdatum', 'xsd:date')
('bag:KenmerkLigplaatsInOnderzoek', 'bag:documentdatum', 'xsd:date')
('bag:Verblijfsobject', 'bag:identificatie', 'xsd:string')
('bag:VoorkomenLVBAG', 'bag:beeindigd', 'xsd:boolean')
('bag:VoorkomenLV', 'bag:eindRegistratie', 'xsd:dateTime')
('bag:KenmerkNummeraanduidingInOnderzoek', 'bag:documentnummer', 'xsd:string')
('bag:KenmerkStandplaatsInOnderzoek', 'bag:documentnummer', 'xsd:string')
('bag:Pand', 'bag:oorspronkelijkBouwjaar', 'xsd:gYear')
('bag:Ligplaats', 'bag:documentdatum', 'xsd:date')
('bag:KenmerkPandInOnderzoek', 'bag:identificatieVanPand', 'xsd:string')
('bag:OpenbareRuimte', 'bag:identificatie', 'xsd:string')
('bag:KenmerkPandInOnderzoek', 'bag:documentnummer', 'xsd:string')
('bag:Verblijfsobject', 'bag:oppervlakte', 'xsd:integer')
('bag:KenmerkPandInOnderzoek', 'bag:documentdatum', 'xsd:date')
('bag:Gemeente', 'bag:naam', 'xsd:string')
('sor:Gebouw', 'kad:relatieveHoogteligging', 'xsd:integer')
('sor:OpenbareRuimte', 'sor:type', 'xsd:anyURI')

OBJECT EDGES:
('nen3610:GeoObject', 'nen3610:geregistreerdMet', 'nen3610:Registratiegegevens')
('brt:BRTHogeEnLageZijde', 'brt:hogeZijde', 'geo:Geometry')
('brt:BRTHogeEnLageZijde', 'brt:hogeZijde', 'gml:Curve')
('brt:BRTHogeEnLageZijde', 'brt:lageZijde', 'gml:Curve')
('brt:BRTHogeEnLageZijde', 'brt:lageZijde', 'geo:Geometry')
('brt:Relief', 'brt:taludGeometrie', 'brt:BRTHogeEnLageZijde')
('brt:Relief', 'brt:lijnGeometrie', 'geo:Geometry')
('brt:Relief', 'brt:lijnGeometrie', 'gml:Curve')
('brt:Terrein', 'brt:geometrieVlak', 'geo:Geometry')
('brt:Terrein', 'brt:geometrieVlak', 'gml:Surface')
('kad:AdresseerbaarObject', 'sor:hoofdadres', 'sor:Nummeraanduiding')
('kad:AdresseerbaarObject', 'sor:nevenadres', 'sor:Nummeraanduiding')
('kad:AdresseerbaarObject', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('kad:AdresseerbaarObject', 'geo:hasGeometry', 'geo:Geometry')
('kad:Ligplaats', 'sor:hoofdadres', 'sor:Nummeraanduiding')
('kad:Ligplaats', 'sor:nevenadres', 'sor:Nummeraanduiding')
('kad:Ligplaats', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('kad:Ligplaats', 'geo:hasGeometry', 'geo:Geometry')
('kad:PubliekrechtelijkeBeperking', 'kad:gevestigdOp', 'sor:Object')
('kad:PubliekrechtelijkeBeperking', 'kad:grondslag', 'kad:Grondslag')
('kad:PubliekrechtelijkeBeperking', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('sor:Registratiegegevens', 'kad:brontype', 'kad:Brontype')
('sor:Registratiegegevens', 'kad:mutatietype', 'kad:Mutatietype')
('kad:Standplaats', 'sor:hoofdadres', 'sor:Nummeraanduiding')
('kad:Standplaats', 'sor:nevenadres', 'sor:Nummeraanduiding')
('kad:Standplaats', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('kad:Standplaats', 'geo:hasGeometry', 'geo:Geometry')
('sor:Gebouwzone', 'kad:hoogteklasse', 'kad:Hoogteklasse')
('sor:Gebouwzone', 'kad:mutatietype', 'kad:Mutatietype')
('sor:Gebouwzone', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('sor:Gebouwzone', 'sor:hoortBij', 'sor:Verblijfsobject')
('sor:Gebouwzone', 'geo:hasGeometry', 'geo:Geometry')
('sor:Perceel', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('sor:Perceel', 'geo:hasGeometry', 'geo:Geometry')
('sor:Perceel', 'sor:hoortBij', 'sor:Nummeraanduiding')
('sor:Perceel', 'geo:sfWithin', 'sor:Gemeente')
('sor:Gebouw', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('sor:Gebouw', 'sor:bronhouder', 'kad:Overheidsorganisatie')
('sor:Gebouw', 'geo:hasGeometry', 'geo:Geometry')
('sor:Gemeente', 'geo:sfWithin', 'sor:Provincie')
('sor:Nummeraanduiding', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('sor:Nummeraanduiding', 'sor:ligtAan', 'sor:OpenbareRuimte')
('sor:Object', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('sor:OpenbareRuimte', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('sor:OpenbareRuimte', 'sor:ligtIn', 'sor:Woonplaats')
('sor:Registratiegegevens', 'sor:afgeleidVan', 'sor:RegistratiegegevensExtern')
('sor:Registratiegegevens', 'sor:primaireBron', 'sor:Brondocument')
('sor:RegistratiegegevensExtern', 'sor:beschrijft', 'sor:ObjectExtern')
('sor:Verblijfsobject', 'sor:hoofdadres', 'sor:Nummeraanduiding')
('sor:Verblijfsobject', 'sor:nevenadres', 'sor:Nummeraanduiding')
('sor:Verblijfsobject', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('sor:Verblijfsobject', 'sor:maaktDeelUitVan', 'sor:Gebouw')
('sor:Verblijfsobject', 'geo:hasGeometry', 'geo:Geometry')
('sor:Woonplaats', 'sor:geregistreerdMet', 'sor:Registratiegegevens')
('sor:Woonplaats', 'geo:hasGeometry', 'geo:Geometry')
('bag:Gemeente', 'bag:voorkomen', 'bag:VoorkomenLVBAG')
('bag:Gemeente', 'bag:ligtIn', 'bag:Provincie')
('bag:GemeenteWoonplaatsRelatie', 'bag:woonplaatsId', 'bag:Woonplaats')
('bag:GemeenteWoonplaatsRelatie', 'bag:voorkomen', 'bag:VoorkomenLVBAG')
('bag:GemeenteWoonplaatsRelatie', 'bag:gemeenteId', 'bag:Gemeente')
('bag:KenmerkLigplaatsInOnderzoek', 'bag:historie', 'bag:HistorieInOnderzoek')
('bag:KenmerkNummeraanduidingInOnderzoek', 'bag:historie', 'bag:HistorieInOnderzoek')
('bag:KenmerkOpenbareruimteInOnderzoek', 'bag:historie', 'bag:HistorieInOnderzoek')
('bag:KenmerkPandInOnderzoek', 'bag:historie', 'bag:HistorieInOnderzoek')
('bag:KenmerkStandplaatsInOnderzoek', 'bag:historie', 'bag:HistorieInOnderzoek')
('bag:KenmerkVerblijfsobjectInOnderzoek', 'bag:historie', 'bag:HistorieInOnderzoek')
('bag:KenmerkWoonplaatsInOnderzoek', 'bag:historie', 'bag:HistorieInOnderzoek')
('bag:Ligplaats', 'bag:voorkomen', 'bag:VoorkomenLV')
('bag:Ligplaats', 'bag:geometrie', 'gml:Surface')
('bag:Ligplaats', 'bag:geometrie', 'geo:Geometry')
